dashboard_id,sheet_name,mark_type,rule_label,rf_label,llm_verdict,llm_reason
marketing/Marketing _ Web Traffic & Sales Dashboard,Total Clicks BAN,line,correct,correct,FLAGGED,"The 'Date' field uses aggregation 'TMN' (Minimum truncated to a time part) on the columns shelf, which is an unusual and likely incorrect aggregation for a time series line chart where Date should typically use no aggregation or a standard truncation like YEAR/MONTH/DAY rather than a MIN-based temporal aggregation."
healthcare/UN·insured,State legend,bar,correct,correct,FLAGGED,"The field 'Calculation_5531687025852215297' uses a 'USR' (user-defined) aggregation, which is non-standard and cannot be verified for semantic correctness without knowing the underlying calculation definition, raising a potential aggregation concern."
sales/Superstore Sales Overview Dashboard,Segment,pie,flagged,flagged,FLAGGED,"The pie chart uses SUM aggregation for the quantitative field rather than Percent of Total, which is semantically inappropriate for a pie chart where slices should represent proportional contributions to a whole."
hr/HR Dashboard - #RWFD _ VOTD,by Gender,pie,flagged,flagged,FLAGGED,"The pie chart uses fields with NONE aggregation on a nominal field and USR (custom) aggregations on quantitative fields, but pie charts should use Percent of Total or at minimum a proper additive aggregation (like SUM) to ensure the slices represent proportional parts of a meaningful whole, and without knowing the custom calculation logic, the raw or custom-aggregated values may not sum to a coherent total."
education/online education platform dashboard-project- By Divya,Sheet 5,pie,flagged,flagged,FLAGGED,"The pie chart uses a custom/user-defined (USR) aggregation on a quantitative field placed on rows rather than using a Percent of Total aggregation, which is the semantically appropriate aggregation for pie charts to ensure slices represent proportional parts of a whole."
hr/#Hackathon Viz - HR Analytics Dashboard,Detail Sheet,text,flagged,flagged,FLAGGED,"SUM aggregation is applied to 'PercentSalaryHike', 'MonthlyIncome', and 'TotalWorkingYears' which are ordinal fields used as row dimensions in a text table, where summing ordinal/identifier-like values (especially PercentSalaryHike as a ratio/percentage field) is semantically inappropriate and likely produces misleading aggregated totals rather than meaningful measures."
supply_chain/#RWFD Supply Chain Dashboard,avg daily capacity,circle,correct,correct,CORRECT,"Both fields are nominal (categorical) types with no aggregation applied (NONE), which is appropriate for using them as categorical dimensions on the columns shelf in a circle chart."
education/online education platform dashboard-project- By Divya,Sheet 34,pie,flagged,flagged,FLAGGED,"The pie chart uses a custom/unknown aggregation (USR) on the quantitative field rather than a standard Percent of Total or SUM, and no proper angular measure is defined via a size/angle shelf, making the aggregation semantically unclear and potentially incorrect for a pie chart."
marketing/Marketing _ KPI Dashboard,Total Shares BAN,line,flagged,correct,FLAGGED,"The 'Date' field uses aggregation 'TMN' (Minimum truncated to time), which is an unusual/non-standard aggregation for a temporal field on a line chart where continuous date progression (e.g., no aggregation or YEAR/MONTH truncation) would be semantically appropriate, and the nominal field 'federated.04yyzbm0zi0r1w163n8s106f4vse' appears on both rows and cols with no aggregation, suggesting a potentially redundant or misconfigured axis setup."
financial/Procurement and accounting,top 5 ,bar,correct,correct,CORRECT,"The nominal field has no aggregation (appropriate for a categorical dimension on cols), and the quantitative calculation field uses Percent of Total (PCTO), which is a semantically valid aggregation for displaying proportional values in a bar chart."
education/Nigeria Education Sector Spending Analysis 2015-2025,Budget % vs Benchmark,line,flagged,flagged,FLAGGED,"SUM is applied to 'education_pct_of_budget' and 'unesco_benchmark', which appear to be ratio/percentage fields, and summing percentages is semantically incorrect as it produces meaningless totals rather than a proper aggregated rate (AVG would be more appropriate)."
healthcare/Healthcare Dashboard,Gender,pie,flagged,flagged,FLAGGED,"The pie chart uses a raw SUM aggregation for the quantitative field rather than Percent of Total, which is the semantically appropriate aggregation for pie charts that are meant to show proportional composition."
hr/The 500 HR Club,HR by Age,line,flagged,flagged,CORRECT,"All fields have appropriate aggregations: nominal fields use NONE, ordinal fields use USR (user-defined, appropriate for custom calculations), the quantitative measure uses SUM, and the binned Age field uses NONE as expected for pre-binned ordinal data in a line chart."
operations/ADB Cofinancing Operations 2021,covid,bar,correct,correct,CORRECT,"All quantitative fields use SUM aggregation which is appropriate for numeric measures (calculations and ADB values), while nominal/categorical fields have no aggregation applied, which is correct for dimensional fields used to define bar chart groupings."
operations/Fistula Operation,Birth Attended By Skilled Health Staff (% Of Total) - Fistula Country,pie,flagged,flagged,FLAGGED,"The pie chart uses AVG aggregation on 'Births attended by skilled health staff (% of total)', which is a ratio/percentage field where averaging percentages without weighting by population size is statistically misleading, and additionally the chart lacks a Percent of Total aggregation which is the standard approach for pie chart slices."
education/online education platform dashboard-project- By Divya,Sheet 12,pie,flagged,flagged,FLAGGED,"The pie chart uses a USR (user-defined) aggregation on a quantitative field placed on rows, and the absence of a Percent of Total aggregation for the size/angle encoding means the pie slices may not correctly represent proportional parts of a whole, which is the fundamental semantic requirement of a pie chart."
healthcare/Healthcare (1),neu p's2,pie,flagged,flagged,FLAGGED,"The 'Number of Records' field in a pie chart should use SUM (to show total counts per slice as a proportion of the whole) rather than AVG, which would misrepresent the contribution of each category to the total."
supply_chain/Supply chain Dashboard,Payment Details 1,bar,correct,correct,FLAGGED,"The calculated field 'Calculation_122441624206925859' uses a USR (user-defined) aggregation, which lacks transparency and cannot be verified for semantic correctness without knowing the underlying formula, raising a potential aggregation correctness concern."
hr/HR Resources Dashboard,Employee Gender Breakdown (Main),pie,flagged,flagged,FLAGGED,"The pie chart uses a custom/user-defined aggregation (USR) on a quantitative field placed on cols rather than using Percent of Total or a standard aggregation like SUM on the angle shelf, which is semantically inappropriate for a pie chart that should represent proportional parts of a whole."
hr/HR Dashboard RWFD 2024,PerfRating,pie,flagged,flagged,FLAGGED,"The pie chart uses a custom/unknown aggregation (USR) on the quantitative field rather than a standard Percent of Total or SUM aggregation, and the dimensional field has no aggregation (NONE), which raises concerns about whether the values are being properly normalized to represent proportional slices in the pie chart."
hr/HR Dashboard RWFD 2024,OvetTimeTer,pie,flagged,flagged,FLAGGED,"The pie chart uses a USR (custom/user-defined) aggregation on a quantitative field placed on cols rather than using Percent of Total, and pie charts should encode parts-of-a-whole where angle/size encodes proportional contribution, making raw or opaque custom aggregations on the columns shelf structurally inappropriate for this mark type."
marketing/Digital Marketing Project #DataSuperStar,Martial Status,line,correct,correct,CORRECT,"All fields are nominal (categorical) with no aggregation applied (NONE), which is appropriate for using them as dimensional groupings in a line chart."
hr/HR Dashboard _ #RWFD (1),Trend - Total Employees,line,correct,correct,FLAGGED,"The aggregation ""CTD"" (Count Distinct) applied to a quantitative/continuous measure field ('Calculation_1072419721303961608') is semantically inappropriate, as counting distinct values of a continuous numeric measure is rarely meaningful and likely indicates a misconfiguration that should instead use SUM, AVG, or another numeric aggregation."
