dashboard_id,category,sheet_name,mark_type,status,error_name,severity,problem,fix,source_rule,annotator_label,notes
education/Data-Driven Insight for Global Education Access and EdTech Expansion,education,Enrollment vs Out-of-School,circle,Clean,,,,,,,
education/Data-Driven Insight for Global Education Access and EdTech Expansion,education,Outlier Analysis,circle,Clean,,,,,,,
education/Data-Driven Insight for Global Education Access and EdTech Expansion,education,Trend Out-of-School Over Time,line,Clean,,,,,,,
education/Department of Education - Visuals,education,Bottom 3 Universities by Graduation Rate,bar,Clean,,,,,,,
education/Department of Education - Visuals,education,Bottom 5 States by Graduation Rate,bar,Clean,,,,,,,
education/Department of Education - Visuals,education,Relationship Between Federal Grant Aid and Graduation Rate,circle,Clean,,,,,,,
education/Department of Education - Visuals,education,Top 3 Universities by Graduation Rate,bar,Clean,,,,,,,
education/Department of Education - Visuals,education,Top 5 States by Graduation Rate,bar,Clean,,,,,,,
education/Department of Education - Visuals,education,public vs private,bar,Clean,,,,,,,
education/Department of Education Graduation Analysis (1),education,Bubble Map,circle,Flagged,Chart has no data fields,ERROR,This circle chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
education/Department of Education Graduation Analysis (2),education,Enrollment Size vs Grad Rate,bar,Clean,,,,,,,
education/Department of Education Graduation Analysis (2),education,Financial Aid Breakdown,bar,Clean,,,,,,,
education/Department of Education Graduation Analysis (2),education,Institutional Profile,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis.,Add a numeric measure to the X axis shelf.,point_tick_bar_without_x_or_y,,
education/Department of Education Graduation Analysis (2),education,Selectivity vs Grad Rate,circle,Clean,,,,,,,
education/Department of Education Graduation Analysis (3),education,Box & Whisker,circle,Clean,,,,,,,
education/Department of Education Graduation Analysis (3),education,ScatterPlot,circle,Clean,,,,,,,
education/Department of Education Graduation Analysis (3),education,Urbanization  Circles,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis.,Add a numeric measure to the X axis shelf.,point_tick_bar_without_x_or_y,,
education/Department of Education Graduation Analysis,education,Bar graph % by graduation rate top 10 schools,bar,Clean,,,,,,,
education/Department of Education Graduation Analysis,education,Graduation Rates by Urbanization Type,bar,Clean,,,,,,,
education/Department of Education Graduation Analysis,education,Metric Switcher ,bar,Clean,,,,,,,
education/Department of Education Graduation Analysis,education,Pie ,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
education/Department of Education Graduation Analysis,education,Top 25 Universities by Enrollment,circle,Flagged,Chart has no data fields,ERROR,This circle chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
education/Education & Fertility Rate - A Global View,education,Trend Over Time,line,Clean,,,,,,,
education/Education - Team 5,education,Sheet 4,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
education/Education by Team 5,education,Sheet 2,pie,Flagged,Chart has no data fields,ERROR,This pie chart has no fields on any shelf - it shows nothing.,"Add fields to Rows, Columns, Color or Size shelves.",no_encodings,,
education/Education by Team 5,education,Sheet 5,circle,Flagged,Scatter plot missing a numeric field,ERROR,This scatter plot needs a numeric measure on both axes but is missing one on the X axis.,Add a numeric measure to the X axis shelf.,point_tick_bar_without_x_or_y,,
education/Education Gender Parity Dashboard,education,GDP vs GPI,circle,Clean,,,,,,,
education/Education Gender Parity Dashboard,education,GPI Trend,line,Flagged,Line chart on unordered categories,ERROR,This line chart uses 'federated.0r3gpk60xti5qa14hq6i111os2cu' on the X axis. That field is an unordered text category. The line implies a trend between points that does not actually exist.,Switch to a Bar chart. Use Line only when X is a date or an ordered sequence.,bar_tick_area_line_without_continuous_x_y,,
education/Education Gender Parity Dashboard,education,GPI by Income Group,bar,Clean,,,,,,,
education/Education,education,Grants vs Loans: School Size,bar,Clean,,,,,,,
